[-] 0034 | 2026-01-14 20:07:00 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[+] 0035 | 2026-01-14 20:07:05 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0036 | 2026-01-14 20:07:07 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0037 | 2026-01-14 20:07:08 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[-] 0038 | 2026-01-14 20:08:30 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 0)
[+] 0039 | 2026-01-14 20:20:29 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0040 | 2026-01-14 20:20:30 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0041 | 2026-01-14 20:20:31 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 0042 | 2026-01-14 20:20:35 | КОНСОЛЬ      | 43243           | 🗑️ Процесс удален из системы: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[*] 0043 | 2026-01-14 20:20:52 | КОНСОЛЬ      | test01          | AUTO включен пользователем
[*] 0044 | 2026-01-14 20:20:52 | КОНСОЛЬ      | test01          | Обновление кнопок: AUTO=1
[*] 0045 | 2026-01-14 20:20:52 | КОНСОЛЬ      | test01          | AUTO кнопка: фиолетовая с белым текстом
[*] 0046 | 2026-01-14 20:20:52 | КОНСОЛЬ      | test01          | STOP кнопка: красная с белым текстом (активна)
[*] 0047 | 2026-01-14 20:20:54 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 15056, попытка: 1)
[+] 0048 | 2026-01-14 20:20:54 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0049 | 2026-01-14 20:20:54 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[~] 0050 | 2026-01-14 20:20:54 | ИЗМЕНЕНИЕ    | авыаывавы       | Статус изменен: Stopped → Runned (процесс запущен)
[*] 0051 | 2026-01-14 20:20:58 | КОНСОЛЬ      | авыаывавы       | 🗑️ Процесс удален из системы: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0052 | 2026-01-14 20:21:09 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[*] 0053 | 2026-01-14 20:21:10 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 18876, попытка: 1)
[+] 0054 | 2026-01-14 20:21:10 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0055 | 2026-01-14 20:21:10 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[*] 0056 | 2026-01-14 20:21:14 | КОНСОЛЬ      | test01          | AUTO выключен пользователем
[*] 0057 | 2026-01-14 20:21:14 | КОНСОЛЬ      | test01          | Обновление кнопок: AUTO=0
[*] 0058 | 2026-01-14 20:21:14 | КОНСОЛЬ      | test01          | AUTO кнопка: серая с фиолетовым текстом
[*] 0059 | 2026-01-14 20:21:14 | КОНСОЛЬ      | test01          | STOP кнопка: серая (неактивна)
[-] 0060 | 2026-01-14 20:21:15 | ОТКЛЮЧЕНИЕ   | test01          | Остановлено процессов: 1 (test.exe)
[~] 0061 | 2026-01-14 20:21:15 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[#] 0062 | 2026-01-14 20:21:19 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0063 | 2026-01-14 20:21:19 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0064 | 2026-01-14 20:21:19 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[+] 0065 | 2026-01-14 20:24:53 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0066 | 2026-01-14 20:24:54 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
[#] 0067 | 2026-01-14 20:24:55 | СИСТЕМА      | HOTKEY          | ✅ F2 и F5 успешно перехвачены на попытке 1
[*] 0068 | 2026-01-14 20:25:24 | КОНСОЛЬ      | test01          | AUTO включен пользователем
[*] 0069 | 2026-01-14 20:25:24 | КОНСОЛЬ      | test01          | Обновление кнопок: AUTO=1
[*] 0070 | 2026-01-14 20:25:24 | КОНСОЛЬ      | test01          | AUTO кнопка: фиолетовая с белым текстом
[*] 0071 | 2026-01-14 20:25:24 | КОНСОЛЬ      | test01          | STOP кнопка: красная с белым текстом (активна)
[*] 0072 | 2026-01-14 20:25:25 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 18644, попытка: 1)
[+] 0073 | 2026-01-14 20:25:25 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0074 | 2026-01-14 20:25:25 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[~] 0075 | 2026-01-14 20:25:41 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[*] 0076 | 2026-01-14 20:25:42 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 2820, попытка: 1)
[+] 0077 | 2026-01-14 20:25:42 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0078 | 2026-01-14 20:25:42 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[*] 0079 | 2026-01-14 20:25:45 | КОНСОЛЬ      | екуекуеку       | 🗑️ Процесс удален из системы: C:\Users\Administrator\Desktop\Запускатр_лог\test3.exe
[~] 0080 | 2026-01-14 20:26:00 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[*] 0081 | 2026-01-14 20:26:01 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 15412, попытка: 1)
[+] 0082 | 2026-01-14 20:26:01 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0083 | 2026-01-14 20:26:01 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[*] 0084 | 2026-01-14 20:26:10 | КОНСОЛЬ      | rerw            | ✅ Процесс добавлен в систему: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[~] 0085 | 2026-01-14 20:26:11 | ИЗМЕНЕНИЕ    | rerw            | Статус изменен: Stop → Runned (процесс запущен)
[~] 0086 | 2026-01-14 20:26:20 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[~] 0087 | 2026-01-14 20:26:20 | ИЗМЕНЕНИЕ    | rerw            | Статус изменен: Runned → Stopped (процесс остановлен)
[*] 0088 | 2026-01-14 20:26:21 | КОНСОЛЬ      | test01          | ✅ Процесс запущен через Run() (PID: 18580, попытка: 1)
[+] 0089 | 2026-01-14 20:26:21 | ВКЛЮЧЕНИЕ    | test01          | Процесс запущен: C:\Users\Administrator\Desktop\Запускатр_лог\test.exe
[*] 0090 | 2026-01-14 20:26:21 | КОНСОЛЬ      | test01          | AUTO выключен пользователем
[*] 0091 | 2026-01-14 20:26:21 | КОНСОЛЬ      | test01          | Обновление кнопок: AUTO=0
[*] 0092 | 2026-01-14 20:26:21 | КОНСОЛЬ      | test01          | AUTO кнопка: серая с фиолетовым текстом
[*] 0093 | 2026-01-14 20:26:21 | КОНСОЛЬ      | test01          | STOP кнопка: серая (неактивна)
[~] 0094 | 2026-01-14 20:26:21 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Stopped → Runned (процесс запущен)
[~] 0095 | 2026-01-14 20:26:21 | ИЗМЕНЕНИЕ    | rerw            | Статус изменен: Stopped → Runned (процесс запущен)
[-] 0096 | 2026-01-14 20:26:25 | ОТКЛЮЧЕНИЕ   | test01          | Остановлено процессов: 1 (test.exe)
[~] 0097 | 2026-01-14 20:26:26 | ИЗМЕНЕНИЕ    | test01          | Статус изменен: Runned → Stopped (процесс остановлен)
[~] 0098 | 2026-01-14 20:26:26 | ИЗМЕНЕНИЕ    | rerw            | Статус изменен: Runned → Stopped (процесс остановлен)
[#] 0099 | 2026-01-14 20:26:50 | СИСТЕМА      | TRAY            | 🚪 Выход из программы через меню трея
[-] 0100 | 2026-01-14 20:26:50 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Process Manager завершает работу
[-] 0101 | 2026-01-14 20:26:50 | ОТКЛЮЧЕНИЕ   | СИСТЕМА         | Завершение работы (Код выхода: 0, Метод: 1)
[+] 0102 | 2026-01-14 20:28:27 | ВКЛЮЧЕНИЕ    | СИСТЕМА         | Process Manager запущен
[#] 0103 | 2026-01-14 20:28:28 | СИСТЕМА      | TRAY            | ✅ Иконка трея инициализирована
