[#] 0207 | 2026-01-14 18:57:49 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0208 | 2026-01-14 18:57:49 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[+] 0209 | 2026-01-14 18:57:49 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events успешно восстановлены из режима опроса!
[#] 0210 | 2026-01-14 18:58:12 | СИСТЕМА      | PROCESSEXISTS   | ⚠️ РЕЗЕРВНАЯ СИСТЕМА: ProcessManager не найден в последние 3 сек, запускаем: ProcessManager.exe
[+] 0211 | 2026-01-14 18:58:12 | ВКЛЮЧЕНИЕ    | PROCESSEXISTS   | ✅ ProcessManager.exe запущен: C:\Users\Administrator\Desktop\Запускатр_лог\ProcessManager.exe
[~] 0212 | 2026-01-14 18:58:13 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 1264, ExitCode: -1)
[#] 0213 | 2026-01-14 18:58:13 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0214 | 2026-01-14 18:58:13 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[+] 0215 | 2026-01-14 19:03:50 | ВКЛЮЧЕНИЕ    | WATCHDOG        | ⚡ AutoIt Error Watchdog запущен (БЫСТРЫЙ СТАРТ)
[#] 0216 | 2026-01-14 19:03:50 | СИСТЕМА      | OPTIMIZATION    | ⚡ CPU оптимизация: WMI ОТКЛЮЧЕН, Polling режим, Sleep 100мс
[#] 0217 | 2026-01-14 19:03:50 | СИСТЕМА      | WMI_CLEANUP     | ⚡ WMI очистка: БЫСТРЫЙ режим, только завершение процессов
[#] 0218 | 2026-01-14 19:03:50 | СИСТЕМА      | WMI_CLEANUP     | ⚡ БЫСТРАЯ очистка WMI при запуске...
[#] 0219 | 2026-01-14 19:03:50 | СИСТЕМА      | WMI_CLEANUP     | ⚡ Быстрый перезапуск службы WMI...
[#] 0220 | 2026-01-14 19:03:52 | СИСТЕМА      | WMI_CLEANUP     | ✅ Служба WMI перезапущена (задержка: 1500мс)
[#] 0221 | 2026-01-14 19:03:52 | СИСТЕМА      | WMI_CLEANUP     | ✅ Быстрая очистка WMI завершена
[#] 0222 | 2026-01-14 19:03:52 | СИСТЕМА      | WMI             | 🔄 Инициализация WMI Events для ProcessManager.exe (интервал: 0.1 сек)...
[+] 0223 | 2026-01-14 19:03:53 | ВКЛЮЧЕНИЕ    | WMI             | ✅ WMI служба успешно подключена
[#] 0224 | 2026-01-14 19:03:53 | СИСТЕМА      | WMI             | 🔍 Проверяем ProcessManager.exe через WMI...
[*] 0225 | 2026-01-14 19:03:53 | КОНСОЛЬ      | WMI             | ✅ ProcessManager.exe найден (1 экземпляров)
[#] 0226 | 2026-01-14 19:03:53 | СИСТЕМА      | WMI             | 📊 WMI проверка завершена
[#] 0227 | 2026-01-14 19:03:53 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0228 | 2026-01-14 19:03:53 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[#] 0229 | 2026-01-14 19:03:53 | СИСТЕМА      | WMI             | 🎯 WMI Events система готова к работе
[#] 0230 | 2026-01-14 19:03:53 | СИСТЕМА      | OPTIMIZATION    | 📊 Интервалы: MainLoop=100мс, WMI Events=500мс, WMI Poll=1000мс
[#] 0231 | 2026-01-14 19:04:03 | СИСТЕМА      | WMI_POLL        | 🔄 Попытка восстановления WMI Events после 10 успешных опросов...
[#] 0232 | 2026-01-14 19:04:03 | СИСТЕМА      | WMI             | 🔄 Попытка восстановления WMI Events...
[#] 0233 | 2026-01-14 19:04:03 | СИСТЕМА      | WMI             | 📡 Инициализация WMI Events...
[+] 0234 | 2026-01-14 19:04:03 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events активированы для ProcessManager.exe
[+] 0235 | 2026-01-14 19:04:03 | ВКЛЮЧЕНИЕ    | WMI             | 🎯 WMI Events успешно восстановлены из режима опроса!
[#] 0236 | 2026-01-14 19:04:08 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 2
[*] 0237 | 2026-01-14 19:04:08 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 10620
[*] 0238 | 2026-01-14 19:04:08 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 10620
[-] 0239 | 2026-01-14 19:04:08 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 6708
[#] 0240 | 2026-01-14 19:04:08 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 1, оставлен новый: 10620
[~] 0241 | 2026-01-14 19:04:10 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 6708, ExitCode: -1)
[#] 0242 | 2026-01-14 19:04:10 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0243 | 2026-01-14 19:04:10 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[#] 0244 | 2026-01-14 19:04:11 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 2
[*] 0245 | 2026-01-14 19:04:11 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 16396
[-] 0246 | 2026-01-14 19:04:11 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 10620
[*] 0247 | 2026-01-14 19:04:11 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 16396
[#] 0248 | 2026-01-14 19:04:11 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 1, оставлен новый: 16396
